,ID,Cluster
170,766192655,0
171,766192656,0
172,766192657,1
173,766192658,0
174,766192659,0
175,766192660,2
176,766192661,2
177,766192662,0
178,766192663,1
179,766192664,1
180,766192665,2
181,766192666,0
182,766192667,1
183,766192668,2
184,766192669,2
185,766192670,0
186,766192671,1
187,766192672,1
188,766192673,0
189,766192674,0
190,766192675,1
191,766192676,2
192,766192677,0
193,766192678,0
194,766192679,0
195,766192680,2
196,766192681,0
197,766192682,1
198,766192683,0
199,766192684,0
200,766192685,0
201,766192686,2
202,766192687,0
203,766192688,2
204,766192689,0
205,766192690,2
206,766192691,2
207,766192692,0
208,766192693,0
209,766192694,0
210,766192695,0
211,766192696,2
212,766192697,1
213,766192698,1
214,766192699,2
215,766192700,0
216,766192701,1
217,766192702,0
218,766192703,1
219,766192704,0
220,766192705,0
221,766192706,1
222,766192707,0
223,766192708,0
224,766192709,2
225,766192710,2
226,766192711,1
227,766192712,0
228,766192713,0
229,766192714,1
230,766192715,2
231,766192716,2
232,766192717,0
233,766192718,2
234,766192719,2
235,766192720,0
236,766192721,1
237,766192722,2
238,766192723,1
239,766192724,2
240,766192725,0
241,766192726,1
242,766192727,1
243,766192728,1
244,766192729,1
245,766192730,2
246,766192731,0
247,766192732,1
248,766192733,1
249,766192734,0
250,766192735,1
251,766192736,2
252,766192737,1
253,766192738,2
254,766192739,0
255,766192740,0
256,766192741,0
257,766192742,0
258,766192743,0
259,766192744,2
260,766192745,0
261,766192746,1
262,766192747,1
263,766192748,2
264,766192749,1
265,766192750,0
266,766192751,2
267,766192752,0
268,766192753,0
269,766192754,2
270,766192755,0
271,766192756,2
272,766192757,2
273,766192758,2
274,766192759,2
275,766192760,2
276,766192761,1
277,766192762,2
278,766192763,0
279,766192764,1
280,766192765,0
281,766192766,0
282,766192767,0
283,766192768,0
284,766192769,2
285,766192770,0
286,766192771,0
287,766192772,2
288,766192773,0
289,766192774,2
290,766192775,0
291,766192776,0
292,766192777,1
293,766192778,0
294,766192779,0
295,766192780,0
296,766192781,1
297,766192782,0
298,766192783,0
299,766192784,0
300,766192785,0
301,766192786,1
302,766192787,0
303,766192788,2
304,766192789,0
305,766192790,2
306,766192791,2
307,766192792,1
308,766192793,0
309,766192794,0
310,766192795,1
311,766192796,2
312,766192797,0
313,766192798,0
314,766192799,1
315,766192800,0
316,766192801,2
317,766192802,0
318,766192803,1
319,766192804,0
320,766192805,1
321,766192806,2
322,766192807,0
323,766192808,0
324,766192809,0
325,766192810,0
326,766192811,1
327,766192812,0
328,766192813,1
329,766192814,0
330,766192815,0
331,766192816,0
332,766192817,0
333,766192818,2
334,766192819,0
335,766192820,0
336,766192821,2
337,766192822,2
338,766192823,1
339,766192824,0
340,766192825,0
341,766192826,1
342,766192827,0
343,766192828,2
344,766192829,1
345,766192830,1
346,766192831,2
347,766192832,1
348,766192833,2
349,766192834,2
350,766192835,2
351,766192836,0
352,766192837,0
353,766192838,1
354,766192839,0
355,766192840,1
356,766192841,0
357,766192842,1
358,766192843,0
359,766192844,2
360,766192845,2
361,766192846,1
362,766192847,0
363,766192848,1
364,766192849,0
365,766192850,1
366,766192851,2
367,766192852,0
368,766192853,2
369,766192854,2
370,766192855,0
371,766192856,1
372,766192857,2
373,766192858,2
374,766192859,2
375,766192860,2
376,766192861,0
377,766192862,2
378,766192863,0
379,766192864,2
380,766192865,0
381,766192866,0
382,766192867,2
383,766192868,2
384,766192869,1
385,766192870,0
386,766192871,2
387,766192872,2
388,766192873,0
389,766192874,1
390,766192875,2
391,766192876,2
392,766192877,0
393,766192878,0
394,766192879,2
395,766192880,2
396,766192881,0
397,766192882,2
398,766192883,0
399,766192884,0
400,766192885,0
401,766192886,1
402,766192887,2
403,766192888,0
404,766192889,2
405,766192890,1
