,ID,Cluster
895,766193380,4
896,766193381,3
897,766193382,1
898,766193383,0
899,766193384,3
900,766193385,3
901,766193386,3
902,766193387,0
903,766193388,1
904,766193389,4
905,766193390,3
906,766193391,3
907,766193392,4
908,766193393,4
909,766193394,4
910,766193395,4
911,766193396,2
912,766193397,2
913,766193398,1
914,766193399,3
915,766193400,4
916,766193401,1
917,766193402,2
918,766193403,4
919,766193404,2
920,766193405,4
921,766193406,2
922,766193407,1
923,766193408,3
924,766193409,4
925,766193410,4
926,766193411,4
927,766193412,3
928,766193413,1
929,766193414,0
930,766193415,3
931,766193416,1
932,766193417,4
933,766193418,1
934,766193419,1
935,766193420,2
936,766193421,2
937,766193422,1
938,766193423,4
939,766193424,3
940,766193425,3
941,766193426,3
942,766193427,3
943,766193428,3
944,766193429,3
945,766193430,1
946,766193431,2
947,766193432,3
948,766193433,4
949,766193434,3
950,766193435,4
951,766193436,2
952,766193437,1
953,766193438,3
954,766193439,4
955,766193440,4
956,766193441,3
957,766193442,1
958,766193443,3
959,766193444,2
960,766193445,0
961,766193446,4
962,766193447,3
963,766193448,4
964,766193449,0
965,766193450,1
966,766193451,4
967,766193452,2
968,766193453,0
969,766193454,2
970,766193455,4
971,766193456,1
972,766193457,4
973,766193458,3
974,766193459,3
975,766193460,2
976,766193461,4
977,766193462,2
978,766193463,3
979,766193464,1
980,766193465,0
981,766193466,2
982,766193467,4
983,766193468,4
984,766193469,2
985,766193470,1
986,766193471,3
987,766193472,3
988,766193473,3
989,766193474,2
990,766193475,4
991,766193476,2
992,766193477,2
993,766193478,3
994,766193479,2
995,766193480,3
996,766193481,4
997,766193482,1
998,766193483,4
999,766193484,3
1000,766193485,2
1001,766193486,0
1002,766193487,4
1003,766193488,4
1004,766193489,4
1005,766193490,4
1006,766193491,4
1007,766193492,0
1008,766193493,2
1009,766193494,3
1010,766193495,3
1011,766193496,4
1012,766193497,3
1013,766193498,1
1014,766193499,3
1015,766193500,4
1016,766193501,2
1017,766193502,4
1018,766193503,4
1019,766193504,0
1020,766193505,4
1021,766193506,0
