,ID,Cluster
852,766193337,3
853,766193338,3
854,766193339,3
855,766193340,3
856,766193341,3
857,766193342,1
858,766193343,0
859,766193344,3
860,766193345,0
861,766193346,3
862,766193347,3
863,766193348,3
864,766193349,3
865,766193350,3
866,766193351,1
867,766193352,1
868,766193353,3
869,766193354,3
870,766193355,3
871,766193356,1
872,766193357,1
873,766193358,3
874,766193359,3
875,766193360,3
876,766193361,1
877,766193362,1
878,766193363,1
879,766193364,1
880,766193365,0
881,766193366,3
882,766193367,1
883,766193368,1
884,766193369,3
885,766193370,3
886,766193371,3
887,766193372,3
888,766193373,3
889,766193374,1
890,766193375,3
891,766193376,3
892,766193377,0
893,766193378,3
894,766193379,3
895,766193380,3
896,766193381,3
897,766193382,0
898,766193383,3
899,766193384,1
900,766193385,1
901,766193386,3
902,766193387,1
903,766193388,0
904,766193389,3
905,766193390,3
906,766193391,3
907,766193392,3
908,766193393,3
909,766193394,1
910,766193395,3
911,766193396,3
912,766193397,3
913,766193398,1
914,766193399,3
915,766193400,3
916,766193401,1
917,766193402,3
918,766193403,1
919,766193404,3
920,766193405,1
921,766193406,1
922,766193407,3
923,766193408,3
924,766193409,3
925,766193410,3
926,766193411,3
927,766193412,1
928,766193413,1
929,766193414,0
930,766193415,1
931,766193416,3
932,766193417,0
933,766193418,3
934,766193419,1
935,766193420,1
936,766193421,3
937,766193422,1
938,766193423,3
939,766193424,3
940,766193425,3
941,766193426,3
942,766193427,1
943,766193428,3
944,766193429,1
945,766193430,1
946,766193431,3
947,766193432,1
948,766193433,1
949,766193434,3
950,766193435,3
951,766193436,3
952,766193437,1
953,766193438,3
954,766193439,3
955,766193440,1
956,766193441,3
957,766193442,3
958,766193443,3
959,766193444,3
960,766193445,3
961,766193446,3
962,766193447,3
963,766193448,3
964,766193449,3
965,766193450,0
966,766193451,3
967,766193452,3
968,766193453,3
969,766193454,1
970,766193455,3
971,766193456,1
972,766193457,0
973,766193458,3
974,766193459,3
975,766193460,3
976,766193461,1
977,766193462,3
978,766193463,3
979,766193464,1
980,766193465,3
981,766193466,1
982,766193467,3
983,766193468,3
984,766193469,3
985,766193470,1
986,766193471,1
987,766193472,3
988,766193473,0
989,766193474,0
990,766193475,3
991,766193476,3
992,766193477,3
993,766193478,1
994,766193479,0
995,766193480,1
996,766193481,3
997,766193482,1
998,766193483,3
999,766193484,1
